STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/1/1910,0,0,0,60,45
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/2/1910,0,0,0,74,42
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/3/1910,0,0,0,74,50
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/4/1910,0.02,0,0,74,39
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/5/1910,0,0,0,49,38
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/6/1910,0,0,0,60,32
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/7/1910,0,0,0,69,40
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/8/1910,0,0,0,66,44
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/9/1910,0,0,0,72,48
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/10/1910,0,0,0,81,50
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/11/1910,0,0,0,66,37
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/12/1910,0,0,0,60,37
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/13/1910,0,0,0,75,46
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/14/1910,0,0,0,70,53
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/15/1910,0.1,0,0,63,30
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/16/1910,0.13,1.4,0,32,26
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/17/1910,0.18,2,3,34,26
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/18/1910,0,0,0,49,29
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/19/1910,0,0,0,57,34
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/20/1910,0,0,0,69,38
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/21/1910,0.03,0,0,73,43
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/22/1910,0.06,0,0,43,26
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/23/1910,0.12,1.5,0,35,19
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/24/1910,0,0,0,47,29
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/25/1910,0,0,0,59,31
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/26/1910,0,0,0,72,36
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/27/1910,0,0,0,85,45
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/28/1910,0,0,0,82,39
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/29/1910,0,0,0,79,49
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",4/30/1910,0,0,0,61,42
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/1/1910,0,0,0,68,43
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/2/1910,0,0,0,51,35
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/3/1910,0,0,0,58,34
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/4/1910,0,0,0,63,40
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/5/1910,0,0,0,67,42
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/6/1910,0,0,0,64,52
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/7/1910,0,0,0,68,46
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/8/1910,0,0,0,72,46
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/9/1910,0,0,0,68,48
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/10/1910,0,0,0,67,46
USC00215433,"MINNEAPOLIS WEATHER BUREAU DOWNTOWN, MN US",5/11/1910,0,0,0,57,35
