STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMSD,EMSN,EMXP,SNOW,TAVG,TMAX,TMIN
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-05,0,0,1.21,0,56.7,65.4,48.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-06,0,0,0.99,0,67.9,78.2,57.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-07,0,0,0.85,0,73.4,83.2,63.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-08,0,0,0.9,0,73.8,84.9,62.7
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-09,0,0,1.2,0,62.2,72.3,52.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-10,1,1.4,0.66,1.9,55.4,66.9,44
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-11,0,0.4,0.38,0.5,31.5,39.2,23.8
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1938-12,5,2.1,0.19,9.1,20.3,27.7,13
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-01,6,3.1,0.47,7.4,19.7,27.5,11.8
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-02,12,8,0.45,11.1,9.2,20.4,-2.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-03,7,3,0.2,6,29.4,39.3,19.4
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-04,2,2.7,0.69,3.9,42.4,52.1,32.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-05,0,0,1.51,0,63.8,76,51.7
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-06,0,0,1.27,0,68.6,78.6,58.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-07,0,0,0.87,0,74.6,85.1,64.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-08,0,0,1.14,0,71.2,82.1,60.3
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-09,0,0,1.8,0,64.2,75.4,53
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-10,0,0.6,0.64,0.6,47.5,56.7,38.2
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-11,0,0,0.01,0,37.7,48.3,27
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1939-12,4,4.6,0.47,4.8,27.7,36.6,18.7
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-01,6,2.7,0.15,5.1,6.5,14.2,-1.2
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-02,6,3.3,0.31,9.1,19.4,27,11.8
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-03,17,9.4,0.59,25.6,24.2,31.7,16.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-04,0,0,0.29,0,43.7,53,34.3
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-05,0,0,0.63,0,56,66.8,45.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-06,0,0,1.46,0,68,77.8,58.3
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-07,0,0,0.99,0,75.8,87,64.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-08,0,0,0.6,0,68.7,76.9,60.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-09,0,0,0.22,0,65.3,76.4,54.2
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-10,0,0,0.31,0,54,63.9,44
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-11,15,8.5,2.52,26.3,27.8,34.6,20.9
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1940-12,13,4.9,0.38,10.6,22,29.1,14.8
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-01,4,1,0.44,3.3,17.4,25.3,9.5
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-02,5,3.1,0.33,5.5,14.7,24.1,5.4
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-03,4,2.4,0.14,6.8,28.1,36,20.2
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-04,0,0,0.49,0,52.8,62.8,42.9
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-05,0,0,1.13,0,63.2,74.2,52.4
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-06,0,0,0.83,0,69.1,78.3,59.9
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-07,0,0,0.69,0,74.7,85.3,64.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-08,0,0,2.65,0,72.6,83.3,61.8
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-09,0,0,1.12,0,63.2,73.2,53.2
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-10,0,0,1.69,0,50.9,59.7,42
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-11,2,3.6,0.59,3.8,36.5,44.7,28.3
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1941-12,6,4.6,0.28,8.7,26.2,33.7,18.8
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-01,3,1.4,0.12,1.7,20.5,29.3,11.7
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-02,3,1.8,0.17,5.2,20.8,27.5,14.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-03,1,2.1,0.72,4.6,35.8,42.9,28.8
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-04,0,0,0.96,0,52.2,63.9,40.4
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-05,0,0,2.49,0,56,65.1,47
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-06,0,0,1.19,0,66.7,75.9,57.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-07,0,0,1.48,0,71.4,81.3,61.6
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-08,0,0,1.13,0,70.5,80,61.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-09,0,1.7,3.29,1.7,57.2,66.2,48.3
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-10,0,0.2,0.36,0.3,50.3,60.5,40.1
USW00014922,"MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US",44.8831,-93.2289,265.8,1942-11,1,0.7,0.18,0.9,33.6,42.5,24.7
