STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-01,,,25,17
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-02,,,25,6
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-03,,,22,10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-04,,,25,8
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-05,,,29,23
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-06,,,31,24
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-07,,,28,17
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-08,,,27,21
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-09,,,27,19
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-10,,,28,21
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-11,,,34,28
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-12,,,35,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-13,,,32,19
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-14,,,28,10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-15,,,28,14
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-16,,,30,3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-17,,,27,2
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-18,,,12,5
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-19,,,13,-2
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-20,,,10,-14
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-21,,,29,10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-22,,,20,6
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-23,,,22,13
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-24,,,21,-9
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-25,,,-7,-18
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-26,,,0,-20
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-27,,,10,-10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-28,,,15,8
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-29,,,11,3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-30,,,17,3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1996-12-31,,,21,9
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-01,,,33,21
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-02,,,37,27
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-03,,,37,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-04,,,35,30
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-05,,,30,3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-06,,,9,-2
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-07,,,8,-10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-08,,,30,5
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-09,,,26,23
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-10,,,23,2
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-11,,,2,-12
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-12,,,-1,-12
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-13,,,8,-6
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-14,,,9,-9
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-15,,,20,9
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-16,,,12,-10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-17,,,-2,-14
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-18,,,8,-9
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-19,,,33,7
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-20,,,33,17
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-21,,,37,22
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-22,,,37,15
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-23,,,17,-1
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-24,,,22,12
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-25,,,12,-9
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-26,,,0,-16
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-27,,,2,-3
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-28,,,3,-14
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-29,,,9,-4
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-30,,,21,-2
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-01-31,,,39,19
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-01,,,32,17
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-02,,,32,20
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-03,,,28,9
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-04,,,27,20
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-05,,,28,22
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-06,,,31,20
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-07,,,30,22
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-08,,,26,8
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-09,,,26,10
USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",1997-02-10,,,23,20
