Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1890-01-01,31,10,0,0,M
1890-01-02,10,-8,0,0,M
1890-01-03,10,-12,0,0,M
1890-01-04,21,10,0.24,2.8,M
1890-01-05,13,4,0.15,0.9,M
1890-01-06,4,-12,0,0,M
1890-01-07,15,-9,0,0,M
1890-01-08,32,11,0,0,M
1890-01-09,37,17,0,0,M
1890-01-10,33,17,0,0,M
1890-01-11,29,27,0.08,T,M
1890-01-12,27,0,0.08,0.8,M
1890-01-13,8,0,0.12,1,M
1890-01-14,16,-8,T,T,M
1890-01-15,6,-1,T,T,M
1890-01-16,-1,-18,0,0,M
1890-01-17,9,-5,0.01,0.1,M
1890-01-18,15,-4,T,T,M
1890-01-19,12,-5,0,0,M
1890-01-20,-2,-10,0.04,0.4,M
1890-01-21,-9,-20,0,0,M
1890-01-22,5,-22,0.01,0.1,M
1890-01-23,14,-4,0.22,2.2,M
1890-01-24,23,-14,0,0,M
1890-01-25,34,17,0,0,M
1890-01-26,36,24,0,0,M
1890-01-27,28,18,0,0,M
1890-01-28,39,9,0,0,M
1890-01-29,33,25,0,0,M
1890-01-30,42,21,0,0,M
1890-01-31,21,7,0,0,M
1890-02-01,30,-1,0,0,M
1890-02-02,43,27,0,0,M
1890-02-03,35,21,0,0,M
1890-02-04,50,33,0.01,0,M
1890-02-05,33,7,0,0,M
1890-02-06,33,7,0,0,M
1890-02-07,24,10,0.02,0.2,M
1890-02-08,13,-4,0,0,M
1890-02-09,27,8,0.07,0.8,M
1890-02-10,33,8,T,T,M
1890-02-11,26,18,T,T,M
1890-02-12,45,10,0,0,M
1890-02-13,51,30,0,0,M
1890-02-14,33,20,0,0,M
1890-02-15,43,24,0,0,M
1890-02-16,30,18,0,0,M
1890-02-17,31,24,T,T,M
1890-02-18,24,-3,0.01,0.1,M
1890-02-19,18,12,0.12,1.2,M
1890-02-20,12,-12,0,0,M
1890-02-21,11,-10,0,0,M
1890-02-22,37,0,0,0,M
1890-02-23,35,21,T,T,M
1890-02-24,28,19,0.01,0.2,M
1890-02-25,19,4,0.11,1.4,M
1890-02-26,5,-5,0.08,0.8,M
1890-02-27,11,0,0.05,0.5,M
1890-02-28,10,-1,0.02,0.2,M
1890-03-01,13,-9,0,0,M
1890-03-02,24,-8,0,0,M
1890-03-03,15,3,0.08,1,M
1890-03-04,13,-7,0,0,M
1890-03-05,12,-12,0,0,M
1890-03-06,16,-16,0,0,M
1890-03-07,23,11,T,T,M
1890-03-08,29,2,0,0,M
1890-03-09,35,22,0.04,0.8,M
1890-03-10,38,27,0.04,T,M
1890-03-11,48,32,0.01,T,M
1890-03-12,40,28,T,T,M
1890-03-13,30,15,T,T,M
1890-03-14,15,-4,T,T,M
1890-03-15,18,-6,0,0,M
1890-03-16,38,11,0,0,M
1890-03-17,42,29,0.02,0.2,M
1890-03-18,35,20,0,0,M
1890-03-19,34,13,0,0,M
1890-03-20,51,32,0.06,0,M
1890-03-21,36,28,0.2,2,M
1890-03-22,34,24,0,0,M
1890-03-23,33,21,0.02,0.2,M
1890-03-24,40,30,0.24,0,M
1890-03-25,37,33,0.08,0.1,M
1890-03-26,42,24,0,0,M
1890-03-27,30,25,0.24,3,M
1890-03-28,36,20,0.06,T,M
1890-03-29,31,27,0.02,0.2,M
1890-03-30,33,13,0,0,M
1890-03-31,34,15,0,0,M
1890-04-01,42,19,0,0,M
1890-04-02,53,30,0,0,M
1890-04-03,44,40,0.72,0,M
1890-04-04,51,38,0.1,0,M
1890-04-05,52,31,0.04,0,M
1890-04-06,54,42,0.1,0,M
1890-04-07,47,35,0.48,0,M
1890-04-08,57,43,0.04,0,M
1890-04-09,43,31,0,0,M
1890-04-10,57,25,0,0,M
1890-04-11,83,42,0,0,M
1890-04-12,57,41,0,0,M
1890-04-13,51,33,T,T,M
1890-04-14,56,30,0,0,M
1890-04-15,59,37,0,0,M
1890-04-16,63,36,0,0,M
1890-04-17,66,38,0,0,M
1890-04-18,65,35,0,0,M
1890-04-19,61,34,0,0,M
1890-04-20,67,39,0,0,M
