Unnamed: 0,Date,MaxTemp,MinTemp,Precip,Snow,SnowDepth,datetime,day,month,year,season
0,1871-01-01,M,M,0,M,M,1871-01-01,1,1,1871,Winter
1,1871-01-02,M,M,0,M,M,1871-01-02,2,1,1871,Winter
2,1871-01-03,M,M,0,M,M,1871-01-03,3,1,1871,Winter
3,1871-01-04,M,M,T,M,M,1871-01-04,4,1,1871,Winter
4,1871-01-05,M,M,0,M,M,1871-01-05,5,1,1871,Winter
5,1871-01-06,M,M,0,M,M,1871-01-06,6,1,1871,Winter
6,1871-01-07,M,M,0.15,M,M,1871-01-07,7,1,1871,Winter
7,1871-01-08,M,M,0.05,M,M,1871-01-08,8,1,1871,Winter
8,1871-01-09,M,M,0,M,M,1871-01-09,9,1,1871,Winter
9,1871-01-10,M,M,0,M,M,1871-01-10,10,1,1871,Winter
10,1871-01-11,M,M,0.03,M,M,1871-01-11,11,1,1871,Winter
11,1871-01-12,M,M,0.53,M,M,1871-01-12,12,1,1871,Winter
12,1871-01-13,M,M,0,M,M,1871-01-13,13,1,1871,Winter
13,1871-01-14,M,M,0,M,M,1871-01-14,14,1,1871,Winter
14,1871-01-15,M,M,0,M,M,1871-01-15,15,1,1871,Winter
15,1871-01-16,M,M,0,M,M,1871-01-16,16,1,1871,Winter
16,1871-01-17,M,M,0,M,M,1871-01-17,17,1,1871,Winter
17,1871-01-18,M,M,0,M,M,1871-01-18,18,1,1871,Winter
18,1871-01-19,M,M,0,M,M,1871-01-19,19,1,1871,Winter
19,1871-01-20,M,M,0,M,M,1871-01-20,20,1,1871,Winter
20,1871-01-21,M,M,T,M,M,1871-01-21,21,1,1871,Winter
21,1871-01-22,M,M,0,M,M,1871-01-22,22,1,1871,Winter
22,1871-01-23,M,M,0.85,M,M,1871-01-23,23,1,1871,Winter
23,1871-01-24,M,M,0,M,M,1871-01-24,24,1,1871,Winter
24,1871-01-25,M,M,0.05,M,M,1871-01-25,25,1,1871,Winter
25,1871-01-26,M,M,0,M,M,1871-01-26,26,1,1871,Winter
26,1871-01-27,M,M,0,M,M,1871-01-27,27,1,1871,Winter
27,1871-01-28,M,M,0,M,M,1871-01-28,28,1,1871,Winter
28,1871-01-29,M,M,0,M,M,1871-01-29,29,1,1871,Winter
29,1871-01-30,M,M,0,M,M,1871-01-30,30,1,1871,Winter
30,1871-01-31,M,M,0.05,M,M,1871-01-31,31,1,1871,Winter
31,1871-02-01,M,M,0,M,M,1871-02-01,1,2,1871,Winter
32,1871-02-02,M,M,0,M,M,1871-02-02,2,2,1871,Winter
33,1871-02-03,M,M,0,M,M,1871-02-03,3,2,1871,Winter
34,1871-02-04,M,M,0,M,M,1871-02-04,4,2,1871,Winter
35,1871-02-05,M,M,0,M,M,1871-02-05,5,2,1871,Winter
36,1871-02-06,M,M,0,M,M,1871-02-06,6,2,1871,Winter
37,1871-02-07,M,M,0,M,M,1871-02-07,7,2,1871,Winter
38,1871-02-08,M,M,0.15,M,M,1871-02-08,8,2,1871,Winter
39,1871-02-09,M,M,0,M,M,1871-02-09,9,2,1871,Winter
40,1871-02-10,M,M,0,M,M,1871-02-10,10,2,1871,Winter
41,1871-02-11,M,M,0,M,M,1871-02-11,11,2,1871,Winter
42,1871-02-12,M,M,0,M,M,1871-02-12,12,2,1871,Winter
43,1871-02-13,M,M,0,M,M,1871-02-13,13,2,1871,Winter
44,1871-02-14,M,M,0,M,M,1871-02-14,14,2,1871,Winter
45,1871-02-15,M,M,0,M,M,1871-02-15,15,2,1871,Winter
46,1871-02-16,M,M,0,M,M,1871-02-16,16,2,1871,Winter
47,1871-02-17,M,M,0.2,M,M,1871-02-17,17,2,1871,Winter
48,1871-02-18,M,M,0,M,M,1871-02-18,18,2,1871,Winter
49,1871-02-19,M,M,T,M,M,1871-02-19,19,2,1871,Winter
50,1871-02-20,M,M,0,M,M,1871-02-20,20,2,1871,Winter
51,1871-02-21,M,M,0,M,M,1871-02-21,21,2,1871,Winter
52,1871-02-22,M,M,0,M,M,1871-02-22,22,2,1871,Winter
53,1871-02-23,M,M,0,M,M,1871-02-23,23,2,1871,Winter
54,1871-02-24,M,M,0.21,M,M,1871-02-24,24,2,1871,Winter
55,1871-02-25,M,M,0,M,M,1871-02-25,25,2,1871,Winter
56,1871-02-26,M,M,0,M,M,1871-02-26,26,2,1871,Winter
57,1871-02-27,M,M,0,M,M,1871-02-27,27,2,1871,Winter
58,1871-02-28,M,M,0,M,M,1871-02-28,28,2,1871,Winter
334,1871-12-01,M,M,0,M,M,1871-12-01,1,12,1871,Winter
335,1871-12-02,M,M,0,M,M,1871-12-02,2,12,1871,Winter
336,1871-12-03,M,M,0.4,M,M,1871-12-03,3,12,1871,Winter
337,1871-12-04,M,M,0,M,M,1871-12-04,4,12,1871,Winter
338,1871-12-05,M,M,0,M,M,1871-12-05,5,12,1871,Winter
339,1871-12-06,M,M,0,M,M,1871-12-06,6,12,1871,Winter
340,1871-12-07,M,M,T,M,M,1871-12-07,7,12,1871,Winter
341,1871-12-08,M,M,0,M,M,1871-12-08,8,12,1871,Winter
342,1871-12-09,M,M,T,M,M,1871-12-09,9,12,1871,Winter
343,1871-12-10,M,M,0,M,M,1871-12-10,10,12,1871,Winter
344,1871-12-11,M,M,0,M,M,1871-12-11,11,12,1871,Winter
345,1871-12-12,M,M,0,M,M,1871-12-12,12,12,1871,Winter
346,1871-12-13,M,M,0,M,M,1871-12-13,13,12,1871,Winter
347,1871-12-14,M,M,0,M,M,1871-12-14,14,12,1871,Winter
348,1871-12-15,M,M,0.45,M,M,1871-12-15,15,12,1871,Winter
349,1871-12-16,M,M,0,M,M,1871-12-16,16,12,1871,Winter
350,1871-12-17,M,M,0,M,M,1871-12-17,17,12,1871,Winter
351,1871-12-18,M,M,0,M,M,1871-12-18,18,12,1871,Winter
352,1871-12-19,M,M,0.01,M,M,1871-12-19,19,12,1871,Winter
353,1871-12-20,M,M,0,M,M,1871-12-20,20,12,1871,Winter
354,1871-12-21,M,M,0,M,M,1871-12-21,21,12,1871,Winter
355,1871-12-22,M,M,0.25,M,M,1871-12-22,22,12,1871,Winter
356,1871-12-23,M,M,0.02,M,M,1871-12-23,23,12,1871,Winter
357,1871-12-24,M,M,0.05,M,M,1871-12-24,24,12,1871,Winter
358,1871-12-25,M,M,0,M,M,1871-12-25,25,12,1871,Winter
359,1871-12-26,M,M,0,M,M,1871-12-26,26,12,1871,Winter
360,1871-12-27,M,M,0,M,M,1871-12-27,27,12,1871,Winter
361,1871-12-28,M,M,0,M,M,1871-12-28,28,12,1871,Winter
362,1871-12-29,M,M,0,M,M,1871-12-29,29,12,1871,Winter
363,1871-12-30,M,M,0.02,M,M,1871-12-30,30,12,1871,Winter
364,1871-12-31,M,M,0,M,M,1871-12-31,31,12,1871,Winter
365,1872-01-01,M,M,0,M,M,1872-01-01,1,1,1872,Winter
366,1872-01-02,M,M,0.02,M,M,1872-01-02,2,1,1872,Winter
367,1872-01-03,M,M,0,M,M,1872-01-03,3,1,1872,Winter
368,1872-01-04,M,M,0,M,M,1872-01-04,4,1,1872,Winter
369,1872-01-05,M,M,0,M,M,1872-01-05,5,1,1872,Winter
370,1872-01-06,M,M,0,M,M,1872-01-06,6,1,1872,Winter
371,1872-01-07,M,M,0,M,M,1872-01-07,7,1,1872,Winter
372,1872-01-08,M,M,0,M,M,1872-01-08,8,1,1872,Winter
373,1872-01-09,M,M,0,M,M,1872-01-09,9,1,1872,Winter
374,1872-01-10,M,M,0,M,M,1872-01-10,10,1,1872,Winter
375,1872-01-11,M,M,0,M,M,1872-01-11,11,1,1872,Winter
376,1872-01-12,M,M,0,M,M,1872-01-12,12,1,1872,Winter
377,1872-01-13,M,M,0,M,M,1872-01-13,13,1,1872,Winter
378,1872-01-14,M,M,0,M,M,1872-01-14,14,1,1872,Winter
379,1872-01-15,M,M,0,M,M,1872-01-15,15,1,1872,Winter
380,1872-01-16,M,M,0,M,M,1872-01-16,16,1,1872,Winter
381,1872-01-17,M,M,0,M,M,1872-01-17,17,1,1872,Winter
382,1872-01-18,M,M,0,M,M,1872-01-18,18,1,1872,Winter
383,1872-01-19,M,M,0.16,M,M,1872-01-19,19,1,1872,Winter
384,1872-01-20,M,M,0,M,M,1872-01-20,20,1,1872,Winter
385,1872-01-21,M,M,0,M,M,1872-01-21,21,1,1872,Winter
386,1872-01-22,M,M,0,M,M,1872-01-22,22,1,1872,Winter
387,1872-01-23,M,M,0.02,M,M,1872-01-23,23,1,1872,Winter
388,1872-01-24,M,M,0,M,M,1872-01-24,24,1,1872,Winter
389,1872-01-25,M,M,0,M,M,1872-01-25,25,1,1872,Winter
390,1872-01-26,M,M,0.03,M,M,1872-01-26,26,1,1872,Winter
391,1872-01-27,M,M,0.02,M,M,1872-01-27,27,1,1872,Winter
392,1872-01-28,M,M,0.03,M,M,1872-01-28,28,1,1872,Winter
393,1872-01-29,M,M,0,M,M,1872-01-29,29,1,1872,Winter
394,1872-01-30,M,M,0,M,M,1872-01-30,30,1,1872,Winter
395,1872-01-31,M,M,0,M,M,1872-01-31,31,1,1872,Winter
396,1872-02-01,M,M,0,M,M,1872-02-01,1,2,1872,Winter
397,1872-02-02,M,M,0,M,M,1872-02-02,2,2,1872,Winter
398,1872-02-03,M,M,0,M,M,1872-02-03,3,2,1872,Winter
399,1872-02-04,M,M,0.01,M,M,1872-02-04,4,2,1872,Winter
400,1872-02-05,M,M,0,M,M,1872-02-05,5,2,1872,Winter
401,1872-02-06,M,M,0,M,M,1872-02-06,6,2,1872,Winter
402,1872-02-07,M,M,0,M,M,1872-02-07,7,2,1872,Winter
