Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Precipitation (inches),Snow (inches),Snow Depth (inches)
1/1/1990,27,15,T,T,3
1/2/1990,35,14,0,0,3
1/3/1990,36,22,0,0,3
1/4/1990,27,14,0,0,2
1/5/1990,29,14,T,T,2
1/6/1990,36,3,T,0.1,2
1/7/1990,41,19,0,0,2
1/8/1990,45,31,0,0,1
1/9/1990,37,19,0,0,T
1/10/1990,49,15,0,0,T
1/11/1990,38,22,T,T,T
1/12/1990,22,10,T,T,T
1/13/1990,27,6,0,0,T
1/14/1990,38,20,0,0,0
1/15/1990,43,20,0,0,0
1/16/1990,34,20,T,0,0
1/17/1990,33,24,T,T,0
1/18/1990,31,18,0,0,0
1/19/1990,39,13,0,0,0
1/20/1990,33,19,0,0,0
1/21/1990,37,24,0,0,0
1/22/1990,40,30,0,0,0
1/23/1990,37,30,0.01,0.1,0
1/24/1990,36,25,0,0,T
1/25/1990,29,16,0,0,0
1/26/1990,33,13,0,0,0
1/27/1990,33,10,0.09,0.9,0
1/28/1990,39,14,0,0,1
1/29/1990,41,19,0,0,T
1/30/1990,40,5,T,T,T
1/31/1990,31,7,0,0,T
2/1/1990,22,8,T,T,T
2/2/1990,22,5,T,T,T
2/3/1990,30,16,0.1,1.2,1
2/4/1990,49,13,0,0,1
2/5/1990,47,24,0,0,T
2/6/1990,40,17,0,0,0
2/7/1990,50,20,0,0,0
2/8/1990,43,26,0,0,0
2/9/1990,34,22,0,0,0
2/10/1990,31,14,0,0,0
2/11/1990,40,24,T,T,T
2/12/1990,59,23,0,0,0
2/13/1990,34,7,0,0,0
2/14/1990,19,3,0,0,0
2/15/1990,24,17,0.21,3.2,0
2/16/1990,23,10,0.17,2.9,5
2/17/1990,20,-2,0,0,6
2/18/1990,27,15,0,0,6
2/19/1990,22,4,0,0,5
2/20/1990,38,5,0,0,3
2/21/1990,41,31,0,0,1
2/22/1990,37,25,0,0,T
2/23/1990,33,18,0.29,3.4,T
2/24/1990,18,0,T,T,3
2/25/1990,20,-7,T,T,3
2/26/1990,42,20,T,T,2
2/27/1990,33,15,0,0,1
2/28/1990,43,12,0,0,1
3/1/1990,59,28,0,0,T
3/2/1990,41,22,0,0,0
3/3/1990,29,13,0,0,0
3/4/1990,42,23,0,0,0
3/5/1990,33,21,T,T,T
3/6/1990,37,18,0,0,0
3/7/1990,33,22,0.08,T,0
3/8/1990,34,31,0.8,1.7,T
3/9/1990,37,33,T,0,1
3/10/1990,40,30,0,0,T
3/11/1990,51,38,1.3,0,0
3/12/1990,69,50,0.19,0,0
3/13/1990,58,35,0.46,0,0
3/14/1990,62,40,0.29,0,0
3/15/1990,47,32,0.46,0.8,0
3/16/1990,36,31,T,T,T
3/17/1990,35,29,0.07,0.7,T
3/18/1990,30,17,T,T,T
3/19/1990,35,14,0,0,T
3/20/1990,55,20,0,0,0
3/21/1990,59,35,0,0,0
3/22/1990,43,17,0.01,0,0
3/23/1990,25,11,0,0,0
3/24/1990,36,16,0,0,0
3/25/1990,44,25,0,0,0
3/26/1990,37,18,0,0,0
3/27/1990,56,22,0,0,0
3/28/1990,55,36,0,0,0
3/29/1990,56,35,0,0,0
3/30/1990,59,32,0,0,0
3/31/1990,54,32,T,0,0
4/1/1990,48,33,0.32,0.8,0
4/2/1990,43,26,0,0,0
4/3/1990,53,24,T,0,0
4/4/1990,57,33,T,T,0
4/5/1990,38,24,T,T,0
4/6/1990,34,17,0,0,0
4/7/1990,49,17,0,0,0
4/8/1990,60,24,0.01,0,0
4/9/1990,59,34,0.06,0,0
4/10/1990,51,27,0,0,0
4/11/1990,38,22,T,T,0
4/12/1990,51,24,0,0,0
4/13/1990,56,28,0,0,0
4/14/1990,69,29,0.05,0,0
4/15/1990,53,29,0,0,0
4/16/1990,46,30,0.14,1.4,0
4/17/1990,48,25,0,0,0
4/18/1990,60,30,0,0,0
4/19/1990,55,46,0,0,0
4/20/1990,75,45,0,0,0
4/21/1990,79,50,0,0,0
4/22/1990,81,51,0,0,0
4/23/1990,86,62,0.26,0,0
4/24/1990,81,61,1.24,0,0
4/25/1990,83,65,0.12,0,0
4/26/1990,75,60,0.69,0,0
4/27/1990,61,50,0.3,0,0
4/28/1990,50,40,0.26,0,0
4/29/1990,47,34,0.35,0,0
4/30/1990,51,28,T,T,0
5/1/1990,50,32,0.01,0,0
5/2/1990,61,28,0,0,0
5/3/1990,70,44,0,0,0
5/4/1990,71,46,0,0,0
5/5/1990,69,48,0,0,0
5/6/1990,73,38,0,0,0
5/7/1990,90,59,0,0,0
5/8/1990,71,50,0.12,0,0
5/9/1990,55,44,0.26,0,0
5/10/1990,57,37,T,0,0
5/11/1990,68,33,0,0,0
5/12/1990,63,48,0.12,0,0
5/13/1990,68,42,0.23,0,0
5/14/1990,63,53,0.65,0,0
5/15/1990,56,50,0.51,0,0
5/16/1990,62,50,0.02,0,0
5/17/1990,57,41,0.02,0,0
5/18/1990,61,37,T,0,0
5/19/1990,56,44,0.68,0,0
5/20/1990,61,42,0,0,0
5/21/1990,63,47,0,0,0
5/22/1990,70,43,0.42,0,0
5/23/1990,75,50,0,0,0
5/24/1990,74,52,0,0,0
5/25/1990,62,56,0.28,0,0
5/26/1990,64,57,0.04,0,0
5/27/1990,72,54,0,0,0
5/28/1990,81,50,0,0,0
5/29/1990,71,51,0,0,0
5/30/1990,74,48,0,0,0
5/31/1990,78,50,T,0,0
6/1/1990,83,63,0,0,0
6/2/1990,75,46,1.34,0,0
6/3/1990,53,42,0.17,0,0
6/4/1990,65,38,0,0,0
6/5/1990,75,52,0.26,0,0
6/6/1990,75,53,0,0,0
6/7/1990,76,52,0,0,0
6/8/1990,80,61,0,0,0
6/9/1990,81,59,0,0,0
6/10/1990,85,58,0,0,0
6/11/1990,74,62,1.12,0,0
6/12/1990,86,66,1.24,0,0
6/13/1990,85,65,0.63,0,0
6/14/1990,84,57,T,0,0
6/15/1990,78,61,0.05,0,0
6/16/1990,81,62,1.11,0,0
6/17/1990,77,61,0.44,0,0
6/18/1990,82,64,0,0,0
6/19/1990,80,62,1.36,0,0
6/20/1990,77,61,0,0,0
6/21/1990,79,57,T,0,0
6/22/1990,76,60,0.06,0,0
6/23/1990,79,57,0,0,0
6/24/1990,82,57,0,0,0
6/25/1990,89,64,0,0,0
6/26/1990,91,68,T,0,0
6/27/1990,81,67,1.54,0,0
6/28/1990,82,68,0.5,0,0
6/29/1990,89,68,0,0,0
6/30/1990,87,70,0,0,0
7/1/1990,83,64,0,0,0
7/2/1990,88,66,0,0,0
7/3/1990,100,72,0,0,0
7/4/1990,84,67,0.03,0,0
7/5/1990,78,58,0,0,0
7/6/1990,78,59,0,0,0
7/7/1990,81,63,0.72,0,0
7/8/1990,83,66,0.15,0,0
7/9/1990,78,63,0,0,0
7/10/1990,82,62,0,0,0
7/11/1990,68,60,0.58,0,0
7/12/1990,73,56,0,0,0
7/13/1990,77,50,0,0,0
7/14/1990,81,53,0,0,0
7/15/1990,81,58,0,0,0
7/16/1990,83,64,0,0,0
7/17/1990,87,68,0.27,0,0
7/18/1990,86,63,0.37,0,0
7/19/1990,82,66,0.16,0,0
7/20/1990,81,59,0,0,0
7/21/1990,79,60,T,0,0
7/22/1990,76,59,0.01,0,0
7/23/1990,81,54,0,0,0
7/24/1990,81,60,0,0,0
7/25/1990,82,66,0.03,0,0
7/26/1990,72,65,2.44,0,0
7/27/1990,80,68,0.25,0,0
7/28/1990,85,67,0.05,0,0
7/29/1990,82,67,0,0,0
7/30/1990,77,58,0,0,0
7/31/1990,77,53,0,0,0
8/1/1990,79,58,0,0,0
8/2/1990,81,64,1.19,0,0
8/3/1990,84,65,0.01,0,0
8/4/1990,77,60,0,0,0
8/5/1990,73,56,0,0,0
